20191102-057			22934			11	10	2	1	16	7	15	4	19	6			26	36	2	6	3	18	12	2	1	4			10	3	8	2	13	27	5	1	12	9			20	8	28	3	39	11	12	23	5	1			30	2	4	1	4	8	3	38	20	7			10	2	2	3	4	7	3	1	1	9	
20191102-058			50462			12	11	1	2	17	5	16	5	20	7			0	37	1	7	4	19	13	3	2	5			11	4	9	3	4	28	6	2	13	1			21	9	29	1	40	12	6	24	6	2			31	3	2	2	1	9	4	39	21	8			0	3	2	1	4	5	6	2	2	1	
20191102-059			71933			13	12	2	3	18	1	17	7	21	8			1	1	2	8	5	20	14	4	3	6			12	5	10	4	1	29	7	3	14	9			22	10	30	3	41	13	1	25	7	3			32	4	1	3	2	10	5	40	22	9			1	1	1	3	1	1	1	7	3	9	
20191103-001			20336			14	13	2	4	19	2	18	1	22	9			0	1	3	9	6	21	15	5	4	7			13	6	11	3	2	30	8	4	15	1			23	11	31	3	42	14	2	26	8	4			33	5	2	1	3	11	6	41	23	10			0	1	2	3	2	2	6	1	4	1	
20191103-002			38602			15	14	1	3	20	3	19	2	23	10			1	2	4	10	7	22	16	6	8	8			14	7	12	1	3	31	6	5	16	2			0	12	32	1	43	15	3	27	9	5			34	6	2	2	4	12	1	42	24	11			0	2	2	3	3	3	6	2	8	2	
20191103-003			83052			16	15	2	1	21	4	20	3	8	11			2	3	5	3	8	23	17	7	1	9			0	8	13	2	4	32	1	6	17	3			1	13	33	2	44	5	4	28	10	6			35	7	2	3	5	13	2	43	25	12			0	3	2	3	4	5	1	3	8	3	
20191103-004			79745			17	16	3	2	22	5	21	7	1	12			3	4	6	1	9	24	18	8	2	9			1	9	14	3	5	33	2	7	18	4			2	14	34	3	4	1	5	29	11	7			36	8	1	4	6	5	3	44	26	13			1	4	1	1	4	5	2	7	1	9	
20191103-005			15644			18	1	4	3	23	6	22	1	2	13			4	5	7	2	10	5	19	9	3	1			2	10	15	4	6	34	6	1	19	5			3	15	35	4	4	2	6	30	12	8			37	9	2	5	4	1	4	45	27	14			2	1	2	2	4	5	6	1	2	1	
20191103-006			25407			19	1	2	4	24	7	23	2	3	14			5	6	8	3	11	5	20	10	4	2			3	11	16	5	4	35	1	2	20	6			0	16	36	5	1	3	7	31	13	9			38	10	3	6	1	2	5	7	28	15			0	1	2	3	4	5	1	7	3	2	
20191103-007			42286			20	2	1	5	4	8	24	3	4	15			6	7	2	4	12	1	21	11	5	3			4	12	2	6	1	36	2	3	21	7			1	17	37	6	2	4	8	32	8	10			39	11	4	7	2	3	6	1	29	16			1	2	2	4	4	1	6	1	8	3	
20191103-008			06670			0	3	2	6	1	9	25	4	5	16			7	8	1	5	13	2	6	12	6	4			5	13	1	7	2	37	6	4	22	8			2	18	38	7	3	5	9	7	1	11			0	12	5	8	3	4	1	2	30	17			0	3	1	5	1	2	6	7	1	4	
20191103-009			14606			1	1	3	7	2	10	26	5	6	17			8	9	2	6	4	3	1	13	7	5			6	14	2	8	3	38	6	5	23	9			0	19	39	8	4	6	10	1	2	12			1	13	6	9	4	5	6	3	31	18			0	1	2	6	4	3	6	1	2	5	
20191103-010			38224			2	1	4	3	3	11	27	6	7	18			9	10	3	7	1	4	2	14	8	6			7	15	2	9	4	39	1	6	24	10			1	20	2	9	5	7	11	2	3	13			2	14	7	10	4	6	1	4	32	19			1	1	2	3	4	4	1	2	8	6	
20191103-011			79188			3	2	5	1	4	12	28	7	8	19			10	11	4	8	2	5	3	15	1	9			8	1	1	10	5	40	2	7	25	11			2	21	1	10	6	8	12	3	8	14			3	15	8	11	1	7	2	5	8	20			2	1	1	1	1	5	2	7	8	9	
20191103-012			82112			4	3	6	2	5	13	29	1	8	20			11	12	2	9	3	6	4	16	2	1			9	1	2	11	6	41	3	8	26	12			3	1	2	11	7	9	13	4	1	15			4	16	2	12	2	8	3	6	1	21			3	1	2	2	2	6	3	1	8	1	
20191103-013			91033			5	4	7	3	6	14	30	2	1	9			12	1	1	10	4	7	5	17	3	2			0	1	3	12	7	42	4	9	27	13			4	1	3	3	8	10	14	5	2	16			5	17	1	3	3	9	4	7	2	22			0	1	1	3	3	7	4	2	1	9	
20191103-014			51058			6	5	8	4	7	5	31	3	2	1			13	1	2	11	5	8	6	18	4	3			0	2	4	13	8	43	5	10	28	14			5	2	4	1	9	5	15	6	3	17			6	18	2	1	4	10	5	8	8	23			0	1	2	1	4	5	5	3	8	1	
20191103-015			61735			7	6	9	5	8	1	6	4	3	2			14	1	3	12	6	9	7	19	5	4			1	3	5	14	9	44	6	7	29	15			6	3	5	3	10	1	16	7	4	18			7	19	3	2	5	5	6	9	1	24			1	1	3	3	5	5	6	7	1	2	
20191103-016			60180			8	7	10	6	9	2	6	5	4	3			0	1	4	13	7	10	8	20	6	5			2	1	6	15	10	45	7	1	30	16			7	4	6	1	11	2	17	8	8	19			0	20	4	3	6	1	7	10	2	25			0	1	4	1	6	1	6	1	8	3	
20191103-017			44773			9	8	11	7	4	3	1	6	5	4			1	2	5	14	4	11	9	21	7	6			3	1	7	16	11	46	8	7	31	17			8	5	7	2	12	3	18	7	1	20			1	21	5	3	7	2	8	11	3	26			1	1	5	3	4	2	1	7	1	4	
20191103-018			32505			10	9	12	3	1	4	2	7	6	5			2	3	2	15	1	12	10	22	8	7			4	2	8	17	12	5	9	1	32	18			0	6	8	3	13	4	19	1	2	21			2	22	6	1	8	5	9	12	4	27			0	2	2	3	1	5	2	1	2	5	
20191103-019			21339			11	10	2	1	2	5	3	8	7	6			3	1	1	16	2	13	11	23	9	8			5	3	9	3	13	1	10	2	33	19			1	7	9	3	14	5	20	2	3	22			3	23	7	2	9	1	10	13	5	9			1	1	2	3	2	1	3	2	3	9	
20191103-020			42570			12	11	1	2	4	6	4	9	8	7			4	1	2	17	3	14	12	24	10	9			6	4	10	1	14	5	11	3	34	20			2	8	10	1	15	6	21	7	4	23			0	24	8	3	10	2	11	14	6	1			0	1	2	1	4	5	4	7	4	1	
20191103-021			49276			13	12	2	3	4	7	5	10	9	8			5	2	1	18	4	15	13	25	11	9			7	5	2	2	15	1	12	4	35	21			3	9	11	2	16	7	22	7	5	24			1	25	9	4	11	3	6	15	7	2			1	2	2	2	4	1	6	7	5	9	
20191103-022			19008			14	1	3	4	1	8	6	11	10	9			6	3	2	19	5	16	14	26	12	9			0	6	1	3	16	2	13	5	36	22			0	10	12	3	17	8	23	1	6	25			2	26	10	5	12	4	1	16	8	3			0	1	1	3	1	2	1	1	8	9	
20191103-023			17221			15	1	4	5	2	9	7	12	11	10			7	4	3	20	6	17	15	7	13	1			1	7	2	4	17	3	14	6	37	23			1	11	2	4	18	9	24	2	7	26			3	1	11	6	13	5	2	17	1	4			1	1	2	4	2	3	2	7	1	1	
20191103-024			35567			16	1	5	3	3	10	8	13	12	11			8	5	4	21	7	5	16	1	14	2			2	8	1	5	18	5	15	7	38	24			2	12	1	5	19	10	6	3	8	27			4	1	12	7	14	6	3	7	2	5			2	1	1	3	3	5	6	7	2	2	
20191103-025			55487			17	2	6	1	4	5	9	14	13	12			9	6	5	22	8	5	17	2	15	3			3	9	2	6	4	1	16	8	39	25			3	13	2	6	20	11	1	4	8	28			5	2	13	8	15	7	4	7	3	6			3	2	2	1	4	5	1	7	8	3	
20191103-026			36913			18	3	7	3	5	1	10	15	14	13			10	7	6	23	9	1	6	3	16	4			4	10	3	7	1	2	17	9	40	9			4	1	3	7	21	12	2	5	1	29			6	3	14	3	16	8	5	1	4	7			4	1	3	3	1	1	6	1	1	9	
20191103-027			39120			19	4	8	3	6	2	11	16	15	14			11	8	7	24	10	2	1	4	17	9			5	1	4	8	2	3	18	10	41	1			5	1	2	8	22	13	3	6	2	30			0	4	15	1	17	9	6	2	5	8			0	1	2	3	2	2	1	2	2	9	
20191103-028			76304			20	5	9	1	7	3	12	7	16	15			12	9	8	25	11	3	6	5	18	1			6	1	5	3	3	4	19	11	42	2			0	2	1	9	23	14	4	7	3	31			1	5	16	2	4	10	7	3	6	9			0	1	1	3	4	3	6	7	3	1	
20191103-029			61613			21	6	10	2	8	4	6	1	17	16			13	1	9	26	12	4	1	6	19	2			7	2	6	1	4	5	6	12	43	3			1	1	2	10	24	15	5	8	4	32			2	6	17	3	1	11	8	4	7	10			1	1	2	3	1	4	6	1	4	2	
20191103-030			54215			22	7	11	3	9	5	1	2	18	17			14	1	10	27	4	5	2	7	20	3			8	3	2	2	5	6	1	13	44	4			2	1	3	11	25	16	6	9	5	33			3	7	18	1	2	5	9	5	8	11			2	1	2	1	4	5	1	2	5	3	
20191103-031			45233			23	8	12	4	4	1	2	3	19	18			15	2	11	28	1	5	3	8	21	4			9	4	2	3	6	7	2	14	45	5			3	1	4	3	26	17	7	10	6	34			4	8	19	3	3	1	10	6	9	12			3	1	2	3	4	5	2	3	6	4	
20191103-032			17875			24	1	13	5	1	2	3	4	20	19			16	3	12	29	2	1	4	7	22	5			10	5	1	4	7	8	3	15	8	6			4	2	5	1	27	18	8	7	7	35			5	9	20	1	4	5	11	7	10	13			4	1	1	1	1	5	3	7	8	5	
20191103-033			54519			25	1	14	6	2	5	4	5	21	20			17	4	13	30	4	2	5	1	23	6			11	6	2	5	8	5	4	16	1	7			5	1	6	2	28	19	9	1	8	36			6	10	21	2	5	1	12	8	11	9			5	1	2	2	4	5	4	1	1	9	
20191103-034			76993			26	2	15	7	3	1	5	7	22	21			18	5	14	31	1	3	6	2	24	7			12	7	3	6	9	1	5	17	2	9			6	1	7	3	29	20	10	2	9	9			7	11	22	3	6	2	13	9	12	1			6	1	3	3	1	1	6	7	2	9	
20191103-035			64787			27	3	16	8	4	2	6	1	23	22			19	6	15	32	4	4	1	3	25	8			13	8	4	7	10	2	6	7	3	1			7	2	8	4	30	21	11	3	8	1			8	12	23	1	7	3	14	7	13	2			7	2	4	1	4	2	6	7	8	1	
20191103-036			85817			28	4	17	9	5	3	1	2	8	23			20	7	16	33	1	5	2	4	26	9			14	9	5	8	11	3	7	1	8	2			8	1	9	5	31	22	12	4	1	2			9	13	24	2	8	4	15	7	14	3			8	1	5	2	1	5	1	7	8	2	
20191103-037			36568			29	5	18	3	6	4	2	3	1	24			21	8	17	34	2	1	6	5	27	10			15	10	6	9	12	5	8	2	1	3			9	1	10	6	32	23	6	5	2	3			10	14	25	3	9	5	16	1	8	4			9	1	6	3	2	5	6	1	8	3	
20191103-038			77002			30	6	19	1	7	5	3	7	2	25			22	9	18	35	3	2	1	7	28	11			0	11	7	10	13	1	9	3	2	4			0	2	11	7	33	24	1	6	3	4			11	15	2	4	10	6	17	2	1	5			0	2	2	1	3	1	1	7	1	4	
20191103-039			79363			31	7	20	2	8	6	4	7	3	26			23	10	19	36	4	3	2	1	29	9			1	12	8	3	14	2	10	4	3	5			1	3	12	8	34	25	6	7	4	5			12	16	1	3	11	7	18	3	2	6			1	3	1	3	4	2	6	7	2	9	
20191103-040			66272			32	8	21	3	9	7	6	1	4	27			24	11	20	37	5	4	6	2	30	1			2	13	2	1	15	3	11	5	4	6			2	4	13	9	35	26	1	7	5	6			13	17	2	1	12	8	19	4	3	7			2	4	2	1	5	3	6	7	3	1	
20191103-041			52774			33	9	22	4	10	5	1	2	5	28			25	12	2	38	6	5	1	3	31	2			3	14	1	2	16	4	12	7	5	7			3	5	14	10	36	27	2	7	6	7			14	18	1	2	4	9	20	5	4	8			3	5	2	2	4	5	1	7	4	2	
